DATE,CPI,M2
2016-01-01,237.652,12526.2
2016-02-01,237.336,12599.1
2016-03-01,238.08,12649.6
2016-04-01,238.992,12728.7
2016-05-01,239.557,12796.3
2016-06-01,240.222,12856.9
2016-07-01,240.101,12911.3
2016-08-01,240.545,12995.8
2016-09-01,241.176,13056.7
2016-10-01,241.741,13130.0
2016-11-01,242.026,13204.0
2016-12-01,242.637,13248.7
2017-01-01,243.618,13324.3
2017-02-01,244.006,13391.8
2017-03-01,243.892,13452.7
2017-04-01,244.193,13508.7
2017-05-01,244.004,13561.4
2017-06-01,244.163,13583.3
2017-07-01,244.243,13640.4
2017-08-01,245.183,13699.8
2017-09-01,246.435,13748.9
2017-10-01,246.626,13808.1
2017-11-01,247.284,13841.3
2017-12-01,247.805,13899.7
2018-01-01,248.859,13910.2
2018-02-01,249.529,13947.2
2018-03-01,249.577,14003.5
2018-04-01,250.227,14021.4
2018-05-01,250.792,14077.4
2018-06-01,251.018,14137.7
2018-07-01,251.214,14171.1
2018-08-01,251.663,14219.4
2018-09-01,252.182,14253.8
2018-10-01,252.772,14265.4
2018-11-01,252.594,14285.7
2018-12-01,252.767,14407.5
2019-01-01,252.561,14471.5
2019-02-01,253.319,14506.7
2019-03-01,254.277,14550.5
2019-04-01,255.233,14579.0
2019-05-01,255.296,14678.3
2019-06-01,255.213,14798.6
2019-07-01,255.802,14881.8
2019-08-01,256.036,14964.1
2019-09-01,256.43,15062.4
2019-10-01,257.155,15197.3
2019-11-01,257.879,15305.1
2019-12-01,258.63,15373.7
2020-01-01,259.127,15443.2
2020-02-01,259.25,15497.1
2020-03-01,258.076,16025.9
2020-04-01,256.032,17039.1
2020-05-01,255.802,17886.4
2020-06-01,257.042,18173.5
2020-07-01,258.352,18330.1
2020-08-01,259.316,18396.3
2020-09-01,259.997,18628.8
2020-10-01,260.319,18783.4
2020-11-01,260.911,19012.1
2020-12-01,262.045,19165.9
2021-01-01,262.687,19392.5
2021-02-01,263.579,19628.2
2021-03-01,264.961,19852.2
2021-04-01,266.614,20189.0
2021-05-01,268.383,20457.0
2021-06-01,270.654,20499.2
2021-07-01,271.903,20654.4
2021-08-01,272.676,20837.0
2021-09-01,273.91,21004.6
2021-10-01,276.55,21168.0
2021-11-01,278.919,21337.9
2021-12-01,280.845,21494.0
2022-01-01,282.543,21614.0
2022-02-01,284.5,21712.7
2022-03-01,287.674,21749.8
2022-04-01,288.561,21780.3
2022-05-01,291.298,21723.2
2022-06-01,294.957,21676.8
2022-07-01,294.913,21676.5
2022-08-01,295.097,21644.0
2022-09-01,296.349,21560.6
2022-10-01,298.007,21465.8
2022-11-01,298.786,21408.6
2022-12-01,298.832,21266.4
2023-01-01,300.42,21249.4
2023-02-01,301.45,21226.9
2023-03-01,301.821,20917.4
2023-04-01,302.845,20770.4
2023-05-01,303.334,20840.8
2023-06-01,304.014,20823.8
2023-07-01,304.609,20815.5
2023-08-01,306.082,20792.5
2023-09-01,307.276,20771.8
2023-10-01,307.696,20737.1
2023-11-01,308.148,20743.4
2023-12-01,308.741,20745.1
2024-01-01,309.698,20815.3
2024-02-01,310.967,20903.0
2024-03-01,312.345,20943.8
2024-04-01,313.023,20969.9
2024-05-01,313.175,21032.0
2024-06-01,313.044,21094.6
2024-07-01,313.569,21122.6
2024-08-01,314.062,21204.7
2024-09-01,314.732,21289.0
2024-10-01,315.631,21337.0
2024-11-01,316.528,21440.0
2024-12-01,317.604,21458.4
2025-01-01,318.961,21519.7
2025-02-01,319.679,21587.5
2025-03-01,319.785,21657.8
2025-04-01,320.302,21792.0
2025-05-01,320.62,21849.5
2025-06-01,321.435,21967.8
2025-07-01,322.169,22046.6
2025-08-01,323.291,22105.5
2025-09-01,324.245,22188.6
2025-10-01,,22260.1
2025-11-01,325.063,22280.9
2025-12-01,326.031,22366.2
